Organization Name,Organization Name URL,IPO Status,Company Type,Industries,Number of Employees,Headquarters Location,CB Rank (Organization),Stage,CB Rank (Company),Stock Symbol,Stock Symbol URL,Similar Companies,CB Rank (School),Number of Events,Stock Exchange,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Delisted Date,Delisted Date Precision,IPO Date,Acquisition Terms,Acquisition Type,Price,Price Currency,Price (in USD),Announced Date,Announced Date Precision,Acquired by,Acquired by URL,Transaction Name,Transaction Name URL,Acquisition Status,Number of Acquisitions,Number of Investors,Number of Lead Investors,Top 5 Investors,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Date,Funding Status,Number of Funding Rounds,Founders,Number of Founders,Industry Groups,Accelerator Program Type,Accelerator Duration (in weeks),Accelerator Application Deadline,Investment Stage,Investor Type,Full Description,Phone Number,Contact Email,LinkedIn,Website,Closed Date,Closed Date Precision,Exit Date,Exit Date Precision,Founded Date,Founded Date Precision,Operating Status,Description,Estimated Revenue Range,Postal Code,Headquarters Regions,Number of Portfolio Organizations
Zeroo Pay,https://www.crunchbase.com/organization/zeroo-pay,Private,For Profit,"Apps, Financial Services, Payments",1-10,"Castelsardo, Sardegna, Italy","3,166,475",,"3,084,442",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apps, Financial Services, Payments, Software",,,,,,"Zeroo Pay is the app that allows them to pay and accept payments in physical stores directly from their smartphone at zero commissions. For the processing of the transaction they use Mollie, in online payments and certified.",,info@zeroo-pay.com,https://www.linkedin.com/company/zeroo-pay/,https://www.zeroo-pay.com,,,,,2022-01-01,year,Active,Zeroo Pay is a digital payments platform.,,7031,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Zero3,https://www.crunchbase.com/organization/zero3,Private,For Profit,"Energy, Environmental Consulting, Environmental Engineering, Renewable Energy, Rental",1-10,"Faenza, Emilia-Romagna, Italy","2,425,565",,"2,355,641",,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Francesca Sandrini, Marco Antonini",2,"Commerce and Shopping, Energy, Professional Services, Science and Engineering, Sustainability",,,,,,"Zero3 designs, builds, supplies, and manages plants for maximum energy recovery and production of energy from renewable sources. They provide the following environmental engineering services consultancy, analysis, design, and customized solutions. They provide equipment rental, maintenance and augmented reality, thermographic and thermographic diagnosis, and productivity analysis. They respond to customer inquiries by phone, contact form, and email.",+39 328 4546660,info@zero3.cloud,https://www.linkedin.com/company/zero3-wastetoenergy/,https://www.zero3.cloud,,,,,2019-01-01,year,Active,Zero3 creates technological solutions in the environmental and energy fields.,$1M to $10M,48018,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Zero Impack,https://www.crunchbase.com/organization/zero-impack,Private,For Profit,"Food Delivery, Packaging Services, Sustainability",1-10,"Milano, Lombardia, Italy","744,014",,"705,410",,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Irene Simone,1,"Administrative Services, Food and Beverage, Sustainability, Transportation",,,,,,"Zero Impack provides food delivery as a waste-free, sustainable service. They provide reusable containers that help to reduce the use of single-use plastic packaging. They provide food in reusable containers and other services. The offer food packaging waste in the food delivery sectorcircular economy, reusable packaging, zero packaging waste, resources optimization, and circular food delivery.",,,https://www.linkedin.com/company/zero-impack,https://www.zeroimpack.com,,,,,2021-01-01,year,Active,Zero Impack is a provider of reusable packaging services.,,20124,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Zeprojects,https://www.crunchbase.com/organization/zeprojects,Private,For Profit,"Architecture, Interior Design, Internet of Things",1-10,"Casalecchio Di Reno, Emilia-Romagna, Italy","3,334,740",,"3,248,784",,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Francesca di Giacomo, Silvia Motori",2,"Design, Internet Services, Real Estate",,,,,,"Zeprojects is an architecture firm. The company offers an architectural design service integrating AI and IoT technologies and materials. The customer queries are addressed through phone, online form, and email.",+39 351 765 7565,info@zeprojects.it,https://www.linkedin.com/company/zeprojects,https://zeprojects.co,,,,,2019-01-01,year,Active,Zeprojects is an architectural design company.,Less than $1M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
ZEPHYR BOT,https://www.crunchbase.com/organization/zephyr-8d0c,Private,For Profit,Software,1-10,"Massa, Toscana, Italy","765,887",,"726,549",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lorenzo Libardi,1,Software,,,,,,"Zephyr is a Discord Bot that allows you to take profit from your Discord Server through Donations and awards. Create products with cool advantages and sell them to your community. Keep also track of your progress, sales, customers, impressions and more with a easy-to-use web dashboard.",,ceo@zephyrbot.xyz,,https://zephyrbot.xyz,,,,,2022-01-30,day,Active,Start to monetize your Discord Server.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Zenzero,https://www.crunchbase.com/organization/zenzero-6a4c,Private,For Profit,"Advertising, E-Commerce, Marketing, SEO, Web Design",1-10,"Roma, Lazio, Italy","462,628",,"435,810",,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Advertising, Commerce and Shopping, Design, Internet Services, Sales and Marketing",,,,,,,39-0521921719,info@zenzerocomunicazione.it,https://www.linkedin.com/company/zenzero-comunicazione-srl/about/,http://www.zenzerocomunicazione.it,,,,,2019-10-17,day,Active,"Zenzero provides services such as web design, web marketing, paid advertising, pay per click, SEO, E-commerce and user experience.",$1B to $10B,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Zenon,https://www.crunchbase.com/organization/zenon-8bc8,Private,For Profit,"Consulting, Education, Project Management",1-10,"Milano, Lombardia, Italy","1,687,295",,"1,628,222",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Administrative Services, Education, Other, Professional Services",,,,,,"Zenon offers services to public administrations and private companies. They provide services in the following areas management and coordination of projects, internationalization activities, and technical engineering services. They respond to customer inquiries by phone, contact form, and email.",+39 334 657 171 6,info@zenonsrl.it,,https://www.zenonsrl.it,,,,,2018-01-01,year,Active,"Zenon operates in the energy, transport, environment, and culture sectors.",Less than $1M,20147,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Zenati Automobili,https://www.crunchbase.com/organization/zenati-automobili,Private,For Profit,"Automotive, Mechanical Design, Mechanical Engineering",1-10,"Montalbano Jonico, Basilicata, Italy","2,395,334",,"2,325,827",,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Design, Hardware, Science and Engineering, Transportation",,,,,,"Zenati Automobili provides cars, design and technology services. They provide engineering, innovative technologies, exotic materials, and optimized aerodynamics to the customer.  For inquiries, telephone and contact numbers are used.",+39 3209724258,info@zenatiautomobili.it,https://www.linkedin.com/company/zenati-automobili/,https://www.zenatiautomobili.it,,,,,2018-01-01,year,Active,Zenati Automobili is a automotive industry.,,75023,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
ZenaByte,https://www.crunchbase.com/organization/zenabyte,Private,For Profit,"Analytics, Artificial Intelligence (AI), Data Mining, Data Visualization",1-10,"Genova, Liguria, Italy","2,350,014",,"2,281,166",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Science and Engineering, Software",,,,,,"ZenaByte core business is represented by the design, development and application of leading-edge artificial intelligence and data analytics approaches. Their solutions use highly advanced frameworks for data management and analytics, such as the Hadoop and Spark frameworks, which help build scalable and fault-tolerant software architectures.",,,https://www.linkedin.com/company/zenabyte,https://www.zenabyte.com,,,,,2018-01-01,year,Active,ZenaByte designs and develops artificial intelligence and data analytics for the extraction of data.,$1M to $10M,16145,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
ZedProduction,https://www.crunchbase.com/organization/zedproduction,Private,For Profit,"Advertising, Digital Media, Film Production",1-10,"Milano, Lombardia, Italy","2,568,232",,"2,496,312",,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federico Rognoni,1,"Advertising, Media and Entertainment, Sales and Marketing, Video",,,,,,"ZedProduction is the thread that unites brand, creator, and generation, through photo shooting and video productions perfect to tell stories, promote a product or advertise an event, on social networks and beyond. They create tailor-made digital projects for brands and Influencers to fascinate and conquer zoomers.",,info@zedproduction.com,https://www.linkedin.com/company/zedproductiontv,https://zedproduction.com,,,,,2021-07-28,day,Active,ZedProduction is a media production company.,Less than $1M,20128,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
ZBX,https://www.crunchbase.com/organization/zbx-2302,Private,For Profit,"Blockchain, Information Technology, Virtual Currency",1-10,"Rovereto, Trentino-Alto Adige, Italy","1,940,065",,"1,877,203",,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federico Monti,1,"Blockchain and Cryptocurrency, Financial Services, Information Technology, Other, Payments, Software",,,,,,"ZBX is a blockchain company dedicated to the creation of a smart economy. It is the key to gaining access to the world of blockchain for companies, administrations, and individuals through alternative services to those traditionally provided by institutional entities, such as digital notarization.",,info@zbxitalia.it,https://www.linkedin.com/company/zerobanks/,https://www.zbxitalia.it,,,,,2018-01-01,year,Active,ZBX is a blockchain company for the development of a smart economy.,,38068,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Zanon Pressure Equipment,https://www.crunchbase.com/organization/zanon-pressure-equipment-56c3,Private,For Profit,"Industrial, Industrial Engineering, Manufacturing, Oil and Gas",51-100,"Schio, Veneto, Italy","1,992,004",,"1,928,349",,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Energy, Manufacturing, Natural Resources, Science and Engineering",,,,,,,+39 0445 597 111,sales@zanonpe.com,https://www.linkedin.com/company/zanon-pressure-equipment-s-r-l/,https://zanonpe.com/,,,,,2019-08-01,month,Active,Zanon Pressure Equipment is a manufacturing company that designs and develops pressure equipment for oil and gas industries.,,36015,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Zanon Pressure Equipment,https://www.crunchbase.com/organization/zanon-pressure-equipment,Private,For Profit,"Industrial Manufacturing, Machinery Manufacturing, Manufacturing, Product Design",51-100,"Schio, Veneto, Italy","3,800,570",,"3,699,415",,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Design, Manufacturing",,,,,,,+39 044-559-7111,sales@zanonpe.com,https://www.linkedin.com/company/zanon-pressure-equipment-s-r-l/,https://www.zanon.com,,,,,2019-08-01,month,Active,"Zanon Pressure offers the design and manufacturing of heat exchangers, reactors, columns, vessels, and proprietary equipment.",,36015,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Zafrim,https://www.crunchbase.com/organization/zafrim,Private,For Profit,"Industrial, Manufacturing, Product Design",1-10,"Cappella De' Picenardi, Emilia-Romagna, Italy","3,427,417",,"3,338,883",,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marco Zanitoni,1,"Design, Manufacturing",,,,,,"Zafrim offers conveyors, rubber tapes, tilters, hydraulic tilting elevators, mechanical lift tippers, telescopic bucket conveyors, vibrating feeders, dosing boxes, rollers, pantographs, and installation services. For inquiries, telephone and email are used.",+39 0372 19 20 162,info@zafrim.com,https://www.linkedin.com/company/zafrim,https://www.zafrim.com,,,,,2021-01-01,year,Active,"Zafrim is a designer and manufacturer of conveyors, vibrating feeders, and dosing boxes.",,26030,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
YurekAI,https://www.crunchbase.com/organization/yurekai,Private,For Profit,"Information Technology, Real Estate",11-50,"Ivrea, Piemonte, Italy","2,439,776",,"2,369,672",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diego De Maio,1,"Information Technology, Real Estate",,,,,,YurekAI uses a proprietary predictive algorithm that simplifies the activities of real estate professionals and users. They are available for both iOS and Android and are multi-language.,,info@yurekai.com,https://www.linkedin.com/showcase/yurekai-first-ai-real-estate-concierge,https://yurekai.ch,,,,,2021-01-01,year,Active,YurekAI is a digital concierge for real estate.,,10015,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Yuni,https://www.crunchbase.com/organization/yuni-2646,Private,For Profit,"Education, Training, Universities",11-50,"Foligno, Umbria, Italy","1,052,380",,"1,005,068",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Education, Other",,,,,,,+39 0742 718 734,info@yuni.it,https://www.linkedin.com/company/yuni-official/,https://www.yuni.it,,,,,2021-01-01,year,Active,"Yuni is a training center that offers training, certifications, and co-design opportunities to become university technological poles.",$1M to $10M,6034,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Yowalk,https://www.crunchbase.com/organization/yowalk,Private,For Profit,"Consumer Goods, E-Commerce, Health Care, Manufacturing, Rehabilitation",1-10,"Tombolo, Veneto, Italy","2,896,142",,"2,819,127",,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Consumer Goods, Health Care, Manufacturing",,,,,,"Yowalk is an E-commerce firm that provides mat designed for progressive plantar reactivation, ideal for home and outdoor workouts, for Yoga and Pilates classes, and for warming up and stretching.",+39 349 358 9306,info@yowalk.it,https://www.linkedin.com/company/yowalk/,https://www.yowalk.it,,,,,2018-01-01,year,Active,Yowalk sells innovative products for health and wellness,,35019,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Youscanme.com,https://www.crunchbase.com/organization/youscanme-com,Private,For Profit,"Gift Card, Information Services, QR Codes",1-10,"Torino, Piemonte, Italy","3,019,459",,"2,940,240",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Financial Services, Information Technology, Software",,,,,,,,carlo@west11.it,https://www.linkedin.com/company/youscanme,https://www.youscanme.com,,,,,2020-01-01,year,Active,Youscanme.com generates QR codes and electronic business cards for social profiles and marketing campaigns.,,10139,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
YourSong,https://www.crunchbase.com/organization/yoursong,Private,For Profit,"Audio Recording and Production, Music, Music Label, Music Streaming",1-10,"Roma, Lazio, Italy","3,206,194",,"3,123,308",,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internet Services, Media and Entertainment, Music and Audio",,,,,,,+39 340 1494763,segreteria@yoursong.info,https://www.linkedin.com/company/yoursong-mp/,https://www.yoursong.info,,,,,2021-01-01,year,Active,"YourSong is a music production studio that provides songwriting, recording, and music distribution services.",,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Yourankit,https://www.crunchbase.com/organization/yourankit,Private,For Profit,"Augmented Reality, Commercial, Content",,"Spoleto, Umbria, Italy","3,765,318",,"3,665,772",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hardware, Media and Entertainment, Other, Software",,,,,,Yourankit believes in the value of online content. Their digital platform brings together people and content to foster transparency and meritocracy. Everyone’s opinion generates value.,,,,https://yourankit.com,,,,,2021-01-01,year,Active,Yourankit brings together people and content to foster transparency and meritocracy.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
YOUR Fitness House,https://www.crunchbase.com/organization/your-fitness-house,Private,For Profit,"Fitness, Personal Health, Training",11-50,"Nogara, Veneto, Italy","2,778,567",,"2,703,528",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Education, Health Care, Sports",,,,,,,+39 376 1341566,amministrazione@yourfitnesshouse.it,https://www.linkedin.com/company/your-fitness-house-s-r-l-ssd/,https://yourfitnesshouse.it/,,,,,2023-01-01,year,Active,"YOUR Fitness House provides pilates, circuit boxing, total body workouts, HIIT training, and postural movement services.",,37054,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Your Easy Web,https://www.crunchbase.com/organization/your-easy-web,Private,For Profit,"Advertising, Product Design, Web Development",1-10,"Trani, Puglia, Italy","2,891,702",,"2,814,784",,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Advertising, Design, Sales and Marketing, Software",,,,,,,+39-0883954681,info@youreasyweb.it,https://www.linkedin.com/company/youreasyweb,https://youreasyweb.it/,,,,,2018-01-04,day,Active,"Your Easy Web specializes in logo design, website creation, editorial planning, advertising campaign, and e-mail assistance services.",Less than $1M,76125,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Your Call System,https://www.crunchbase.com/organization/your-call-system,Private,For Profit,"Food Delivery, Mobile Apps, Software",1-10,"Milano, Lombardia, Italy","2,566,117",,"2,494,227",,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apps, Food and Beverage, Mobile, Software, Transportation",,,,,,"Your Call is available for Android and iOS. They provide food delivery services. They offer food gathering, order delivery, and collection process services. Their service is based on the ten-minute rule for managing delays for both restaurants and customers.",,,https://www.linkedin.com/company/your-call-system,https://yourcallsystem.com,,,,,2022-01-01,year,Active,Your Call is a software application that offers food delivery services.,Less than $1M,20144,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Your Accountant,https://www.crunchbase.com/organization/your-accountant-d33b,Private,For Profit,"Accounting, Finance, Outsourcing",11-50,"Milano, Lombardia, Italy","2,870,315",,"2,793,750",,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Financial Services, Professional Services",,,,,,"Your Accountant supports the process of reorganizing the structure. Their outsourcing accounting helps to reduce costs, save on staff training, and concentrate on the practice's growth activities. They respond to customer inquiries by contact form and email.",+39 3384245982,info@iltuocontabile.it,https://www.linkedin.com/company/iltuocontabile-it/,https://www.iltuocontabile.it,,,,,2019-01-01,year,Active,Your Accountant provides accounting outsourcing services for accountants.,,20139,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Younit,https://www.crunchbase.com/organization/younit,Private,For Profit,"Consulting, Furniture, Leasing",1-10,"Roma, Lazio, Italy","2,477,986",,"2,407,346",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ferdinando Meo,1,"Consumer Goods, Financial Services, Professional Services",,,,,,"Younit helps companies improve their employees' engagement and well-being. They help companies with people retention and performance. They provide remote working and office solutions, digital solutions, and leasing plans. They respond to customer inquiries by email and contact form.",,info@younit.it,https://www.linkedin.com/company/younititalia/,https://www.younit.it,,,,,2020-01-01,year,Active,Younit builds customized remote working solutions for companies.,$1M to $10M,199,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Younify,https://www.crunchbase.com/organization/younify-5408,Private,For Profit,"Information Technology, Innovation Management, Smart Home",,"Pescara, Abruzzi, Italy","3,279,217",,"3,194,672",,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Consumer Electronics, Information Technology, Professional Services, Real Estate",,,,,,"Younify operates in the field of technologies that continue to change the scenario of markets. They offer agile work tools, technical support, voice assistants, and more. They offer research and development of solutions for the markets. The company's contact modes are by mail, phone, and physical address.",+39 085 9096931,info@younify.cloud,https://www.linkedin.com/company/younify-srl,https://www.younify.cloud,2021-12-21,day,,,2019-01-01,year,Closed,Younify is an information technology company that develops multitasking tools and home automation solutions.,,65122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Youlysses,https://www.crunchbase.com/organization/youlysses,Private,For Profit,"Advertising, Marketing, Social Network",1-10,"Reggio Nell Emilia, Emilia-Romagna, Italy","3,169,234",,"3,087,148",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Advertising, Internet Services, Sales and Marketing",,,,,,"Youlysses offers services that include brand intelligence, narrative strategies, marketing automation, social network intelligence, and enhance first-party data services. They also provide data-driven marketing services.",,,https://www.linkedin.com/company/youlysses/,https://www.youlysses.it,,,,,2022-01-01,year,Active,"Youlysses provides brand intelligence, narrative strategies, and marketing automation services.",,42124,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Youdomus,https://www.crunchbase.com/organization/youdomus,Private,For Profit,,,"Lucca, Toscana, Italy","1,640,426",,"1,582,080",,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"YouDomus is a platform dedicated to real estate professionals. Youdomus is headquartered in Lucca, Italy.",,,,https://www.youdomus.it/,,,,,2019-01-01,year,Active,YouDomus is a platform dedicated to real estate professionals.,,55100,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
You invest,https://www.crunchbase.com/organization/you-invest,Private,For Profit,"Banking, Finance, Financial Services",1-10,"Villorba, Veneto, Italy","1,342,622",,"1,289,302",,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eleonora Diana,1,"Financial Services, Lending and Investments",,,,,,"You invest provides diversification, scalable market, tax, democratization of investment, impact investing, monitoring, compliance, and reporting services.",,info@invest-in-it.com,https://www.linkedin.com/company/investinit,https://www.invest-in-it.com,,,,,2020-01-01,year,Active,You invest offers finance and investment management services.,$1M to $10M,31020,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Yooable,https://www.crunchbase.com/organization/yooable,Private,For Profit,"Social Media, Software, Video",1-10,"Milano, Lombardia, Italy","2,118,824",,"2,053,355",,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alberto Tavano,1,"Internet Services, Media and Entertainment, Software, Video",,,,,,"Yooable allows the sharing of videos and those found interesting on social networks. This increases the visibility and the possibility of finding new professional opportunities. This allows them to product content with them. Talents, companies, and startups can harness the power of video to do personal branding or employer branding. Check the counters in the dashboard.",,hello@yooable.com,https://www.linkedin.com/company/yooable,https://yooable.com,,,,,2020-01-01,year,Active,Yooable is a social platform that provides web space to make professional connections using short videos.,,20129,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
YK-Robotics,https://www.crunchbase.com/organization/yk-robotics,Private,For Profit,"Developer Platform, Robotics, Software",1-10,"Pontedera, Toscana, Italy","1,331,420",,"1,278,277",,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Joan Ortega Alcaide, Stefano Noferi",2,"Hardware, Science and Engineering, Software",,,,,,"A platform to unleash all potential of automation creators, from system integrators to robotic cell users.  Our mission is to facilitate the usage of advanced robotic platforms in business of all sizes by providing robotic applications that can be configured, programmed and controlled in a more natural way. We support a wide variety of robotic arms, sensors, tools and algorithms executing all sorts of applications such as quality control, assembly, machine tending or packaging between many others.",,info@yk-robotics.com,https://www.linkedin.com/company/yk-robotics/,https://www.yk-robotics.com/,,,,,2020-01-01,year,Active,"We are creating a platform to unleash all potential of automation creators, from system integrators to robotic cell users",,56025,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
YesWorkApp,https://www.crunchbase.com/organization/yesworkapp,Private,For Profit,"Apps, Employment",1-10,"Adria, Veneto, Italy","2,907,736",,"2,830,511",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apps, Professional Services, Software",,,,,,"YesWorkApp is an application that solves small domestic or everyday problems, quickly, economically, and reliably. They provide inquiries through phone calls, emails, and online applications.",+39 338 6913 712,info@yesworkapp.com,https://www.linkedin.com/company/yesworkapp,https://yesworkapp.com,,,,,2019-01-01,year,Active,YesWorkApp is a mobile application for solving domestic problems.,,45011,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
YesRecharge,https://www.crunchbase.com/organization/yesrecharge,Private,For Profit,"Charging Infrastructure, Innovation Management, Renewable Energy, Sustainability",1-10,"San Vendemiano, Veneto, Italy","3,272,717",,"3,188,326",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Energy, Professional Services, Sustainability, Transportation",,,,,,"YesRecharge offers charging stations for electric and plug-in cars. They produce electricity from renewable sources. They provide services that include sustainable mobility, innovation, and renewable energy. For inquiries, telephone and email are used.",+39 02 934095996,info@siricarica.com,https://www.linkedin.com/company/s%C3%ACricarica,https://www.siricarica.com,,,,,2021-01-01,year,Active,YesRecharge provides charging stations for electric and plug-in cars.,,31020,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Yes My Net,https://www.crunchbase.com/organization/yes-my-net,Private,For Profit,"SEO, Social Media Management, Web Development",1-10,"Lodi, Lombardia, Italy","2,240,346",,"2,173,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internet Services, Sales and Marketing, Software",,,,,,,+39 3516008863,info@yesmynet.it,https://www.linkedin.com/company/yesmynet/,https://www.yesmynet.it,,,,,2020-01-01,year,Active,"Yes My Net is a web agency offering SEO, social profile management, internet marketing, and application development services.",,26900,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Yellohu,https://www.crunchbase.com/organization/yellohu,Private,For Profit,"Courier Service, Freight Service, Shipping",,"Parma, Emilia-Romagna, Italy","1,845,594",,"1,784,100",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Administrative Services, Transportation",,,,,,"Yellohu is providing packages and pallet shipping service. They provide personalized pick-up, continuous assistance, tracking code of the goods, and delivery notification. They accept online payments with cards.",,info@yellohu.com,https://www.linkedin.com/company/yellohu,https://yellohu.com,,,,,2019-01-01,year,Active,Yellohu is a parcel shipment company.,,43122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Yec Analytica,https://www.crunchbase.com/organization/yec-analytica,Private,For Profit,"Consulting, Data Management, Data Storage, Market Research",1-10,"Milano, Lombardia, Italy","1,463,184",,"1,407,773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Data and Analytics, Design, Hardware, Professional Services, Software",,,,,,"Yec Analytica is a business consulting firm that provides data intelligence solutions through tailored software and specialized consultancy. The company offers expertise in data mining, data visualization, and big data infrastructure, helping businesses extract insights and manage complex research projects. Services include developing dashboards, reports, and secure data storage systems.",+39-342-804-4447,info@yecanalytica.com,https://www.linkedin.com/company/yec-analytica/,http://www.yecanalytica.com/,,,,,2018-01-01,year,Active,Yec Analytica provides data intelligence solutions through tailored software and specialized consultancy.,,20141,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Ydea,https://www.crunchbase.com/organization/ydea-a2b1,Private,For Profit,"Cloud Management, CRM, Information Technology, Software",11-50,"Citta Sant'angelo, Abruzzi, Italy","3,316,393",,"3,230,931",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Information Technology, Internet Services, Sales and Marketing, Software",,,,,,,39 (085) 9218192,info@ydea.cloud,https://www.linkedin.com/company/ydeacloud,https://ydea.cloud,,,,,2020-01-01,year,Active,Ydea is the cloud solution for the technical and commercial management of customers.,$1M to $10M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
